[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
1.79019645e-01, 1.80506613e-04
1.79359987e-01, 1.81201496e-04
1.79700330e-01, 1.81896394e-04
1.80040672e-01, 1.82591335e-04
1.80381015e-01, 1.83286247e-04
1.80721357e-01, 1.83981130e-04
1.81061700e-01, 1.84676072e-04
1.81402043e-01, 1.85370984e-04
1.81742385e-01, 1.86065881e-04
1.82082728e-01, 1.86760837e-04
1.82423070e-01, 1.87455749e-04
1.82763413e-01, 1.88150661e-04
1.83103755e-01, 1.88838778e-04
1.83444098e-01, 1.89453174e-04
1.83784440e-01, 1.89952567e-04
1.84124783e-01, 1.90451887e-04
1.84465125e-01, 1.90951250e-04
1.84805468e-01, 1.91450599e-04
1.85145810e-01, 1.91949905e-04
1.85486153e-01, 1.92449268e-04
1.85826495e-01, 1.92948632e-04
1.86166838e-01, 1.93447951e-04
1.86507180e-01, 1.93947330e-04
1.86847523e-01, 1.94446664e-04
1.87187865e-01, 1.94970460e-04
1.87528208e-01, 1.95514425e-04
1.87868550e-01, 1.96058347e-04
1.88208893e-01, 1.96602268e-04
1.88549235e-01, 1.97146190e-04
1.88889578e-01, 1.97690155e-04
1.89229921e-01, 1.98234105e-04
1.89570263e-01, 1.98778012e-04
1.89910606e-01, 1.99321978e-04
1.90250948e-01, 1.99865899e-04
1.90591291e-01, 2.00409850e-04
1.90931633e-01, 2.00953800e-04
1.91271976e-01, 2.01497736e-04
1.91612318e-01, 2.02041687e-04
1.91952661e-01, 2.02585637e-04
1.92293003e-01, 2.03129632e-04
1.92633346e-01, 2.03673568e-04
1.92973688e-01, 2.04217518e-04
1.93314031e-01, 2.04761498e-04
1.93654373e-01, 2.05305449e-04
1.93994716e-01, 2.05849399e-04
1.94335058e-01, 2.06393379e-04
1.94675401e-01, 2.06937329e-04
1.95015743e-01, 2.07481324e-04
1.95356086e-01, 2.08025289e-04
1.95696428e-01, 2.08377605e-04
1.96036771e-01, 2.08721089e-04
1.96377113e-01, 2.09064616e-04
1.96717456e-01, 2.09571197e-04
1.97057799e-01, 2.10124141e-04
1.97398141e-01, 2.10677070e-04
1.97738484e-01, 2.11229984e-04
1.98078826e-01, 2.11782914e-04
1.98419169e-01, 2.12335828e-04
1.98759511e-01, 2.12888772e-04
1.99099854e-01, 2.13441715e-04
1.99440196e-01, 2.13994659e-04
1.99780539e-01, 2.14547574e-04
2.00120881e-01, 2.15100517e-04
2.00461224e-01, 2.15653432e-04
2.00801566e-01, 2.16206361e-04
2.01141909e-01, 2.16759290e-04
2.01482251e-01, 2.17312234e-04
2.01822594e-01, 2.17865163e-04
2.02162936e-01, 2.18418092e-04
2.02503279e-01, 2.18970992e-04
2.02843621e-01, 2.19523921e-04
2.03183964e-01, 2.20076850e-04
2.03524306e-01, 2.20629794e-04
2.03864649e-01, 2.21182709e-04
2.04204991e-01, 2.21735667e-04
2.04545334e-01, 2.22288581e-04
2.04885677e-01, 2.22841481e-04
2.05226019e-01, 2.23394454e-04
2.05566362e-01, 2.23847848e-04
2.05906704e-01, 2.24163348e-04
2.06247047e-01, 2.24478848e-04
2.06587389e-01, 2.24794348e-04
2.06927732e-01, 2.25109863e-04
2.07268074e-01, 2.25425378e-04
2.07608417e-01, 2.25740863e-04
2.07948759e-01, 2.26056392e-04
2.08289102e-01, 2.26371892e-04
2.08629444e-01, 2.26687436e-04
2.08969787e-01, 2.27002907e-04
2.09310129e-01, 2.27318393e-04
2.09650472e-01, 2.27633907e-04
2.09990814e-01, 2.27949407e-04
2.10331157e-01, 2.28264937e-04
2.10671499e-01, 2.28580408e-04
2.11011842e-01, 2.28895893e-04
2.11352184e-01, 2.29211408e-04
2.11692527e-01, 2.29526908e-04
2.12032869e-01, 2.29842422e-04
2.12373212e-01, 2.30157937e-04
2.12713555e-01, 2.30473466e-04
2.13053897e-01, 2.30788952e-04
2.13394240e-01, 2.31104495e-04
2.13734582e-01, 2.31420010e-04
